Vehicle_ID,Battery_Capacity_kWh,Charging_Time_hr,Range_km,Vehicle_Type,Charging_Station_Type,State_of_Charge_%
1,57.0,,225,2-Wheeler,Slow,39
2,45.0,0.88,236,Bus,Moderate,55
3,80.0,9.81,505,3-Wheeler,Slow,99
4,92.0,5.16,328,2-Wheeler,Slow,11
5,72.0,8.49,413,Bus,Slow,74
6,31.0,1.06,393,2-Wheeler,Slow,50
7,74.0,3.02,483,2-Wheeler,Moderate,34
8,55.0,8.31,342,Car,Moderate,60
9,37.0,,272,Car,Slow,51
10,48.0,7.97,437,Car,Slow,46
11,94.0,8.46,144,Bus,Moderate,24
12,95.0,8.99,412,2-Wheeler,Slow,18
13,26.0,2.34,194,2-Wheeler,Moderate,93
14,,7.75,459,,Moderate,75
15,49.0,7.1,377,Bus,Fast,41
16,35.0,6.29,229,Bus,Moderate,50
17,50.0,7.76,152,2-Wheeler,Slow,30
18,85.0,,328,2-Wheeler,Fast,85
19,64.0,1.53,141,3-Wheeler,Moderate,41
20,84.0,1.41,184,Car,Slow,53
21,95.0,4.63,314,Car,Moderate,27
22,83.0,2.75,461,,Moderate,22
23,70.0,7.47,150,,Slow,53
24,51.0,6.75,190,2-Wheeler,Slow,19
25,73.0,3.3,471,Car,Moderate,39
26,84.0,5.02,433,Car,Fast,79
27,20.0,4.63,214,Bus,Moderate,70
28,23.0,,418,Bus,Fast,47
29,24.0,8.12,374,2-Wheeler,Slow,58
30,53.0,3.79,270,Car,Moderate,67
31,37.0,5.37,554,Bus,Slow,31
32,85.0,1.23,336,Car,Slow,35
33,28.0,4.98,232,Bus,Slow,62
34,42.0,1.66,528,3-Wheeler,Fast,34
35,36.0,8.35,191,2-Wheeler,Slow,36
36,26.0,7.01,219,Bus,Slow,71
37,45.0,4.99,519,3-Wheeler,Fast,52
38,79.0,,562,Bus,Slow,26
39,49.0,3.49,112,2-Wheeler,Slow,60
40,83.0,,212,3-Wheeler,Fast,75
41,83.0,0.54,273,Car,Slow,47
42,58.0,6.98,315,3-Wheeler,Fast,92
43,64.0,1.21,429,Car,Slow,33
44,,3.57,595,3-Wheeler,Moderate,38
45,49.0,5.35,407,2-Wheeler,Fast,40
46,95.0,,345,Car,Fast,98
47,65.0,0.71,334,Car,Slow,69
48,21.0,2.48,346,3-Wheeler,Fast,52
49,25.0,2.59,425,Bus,Moderate,70
50,20.0,8.19,542,3-Wheeler,Moderate,76
51,29.0,1.51,100,,Moderate,37
52,60.0,1.71,509,Bus,Moderate,16
53,63.0,7.88,162,3-Wheeler,Moderate,24
54,24.0,1.19,504,Car,Fast,57
55,40.0,3.35,221,,Fast,34
56,57.0,0.57,552,,Fast,52
57,83.0,9.48,531,Car,Slow,17
58,37.0,9.19,476,2-Wheeler,Fast,97
59,,9.82,499,2-Wheeler,Slow,99
