Vehicle_ID,Battery_Capacity_kWh,Charging_Time_hr,Range_km,Vehicle_Type,Charging_Station_Type,State_of_Charge
1.0,36.0,7.22,331.0,car,Fast,65.0
,21.0,2.13,495.0,2-Wheeler,Slow,
,63.0,1.08,269.0,,,77.0
4.0,21.0,7.14,515.0,Car,Fast,37.0
5.0,83.0,1.23,193.0,Car,Fast,71.0
6.0,43.0,0.92,319.0,Bus,Slow,63.0
7.0,22.0,1.59,505.0,,SLOW,55.0
8.0,28.0,2.04,,3-Wheeler,Slow,65.0
9.0,41.0,,470.0,Car,,96.0
10.0,89.0,7.82,418.0,,Slow,72.0
11.0,,8.15,334.0,Car,Slow,93.0
12.0,32.0,2.14,,car,,55.0
,,9.6,104.0,Car,SLOW,95.0
14.0,66.0,3.64,254.0,Bus,SLOW,38.0
15.0,57.0,9.56,129.0,2-Wheeler,Fast,92.0
16.0,26.0,2.96,N/A,CAR,SLOW,87.0
17.0,64.0,7.09,116.0,Car,Fast,79.0
18.0,60.0,4.51,279.0,2-Wheeler,,41.0
,54.0,1.81,483.0,car,SLOW,80.0
20.0,92.0,5.02,453.0,Bus,Slow,51.0
21.0,24.0,6.65,142.0,Bus,fast,90.0
,97.0,0.68,,,fast,79.0
,unknown,,228.0,3-Wheeler,Slow,77.0
24.0,unknown,6.26,306.0,2-Wheeler,Fast,82.0
25.0,85.0,9.16,187.0,,,36.0
,58.0,8.92,258.0,Car,,52.0
27.0,57.0,6.38,,Bus,,76.0
28.0,23.0,7.14,N/A,3-Wheeler,SLOW,26.0
29.0,72.0,7.37,522.0,3-Wheeler,Fast,
30.0,22.0,3.97,575.0,car,fast,32.0
,57.0,0.91,470.0,,Fast,79.0
32.0,78.0,6.47,244.0,Bus,,50.0
33.0,76.0,7.61,111.0,,SLOW,79.0
,61.0,2.11,133.0,car,SLOW,55.0
35.0,37.0,4.67,585.0,,fast,23.0
36.0,61.0,6.24,343.0,,SLOW,81.0
37.0,69.0,0.71,250.0,Bus,Moderate,11.0
38.0,69.0,1.42,,,Moderate,84.0
39.0,88.0,9.43,256.0,Bus,Slow,64.0
40.0,21.0,8.25,351.0,Bus,Moderate,30.0
41.0,,error,527.0,Car,Fast,79.0
42.0,95.0,3.25,349.0,2-Wheeler,SLOW,32.0
43.0,,5.94,174.0,,Moderate,69.0
44.0,64.0,0.81,387.0,3-Wheeler,,83.0
45.0,49.0,7.85,,CAR,,34.0
,82.0,7.61,393.0,3-Wheeler,Fast,17.0
47.0,98.0,5.86,414.0,2-Wheeler,Fast,89.0
48.0,,5.5,207.0,,Moderate,24.0
49.0,,8.57,N/A,CAR,Fast,77.0
50.0,86.0,7.97,294.0,Car,SLOW,
,82.0,7.59,,2-Wheeler,Fast,41.0
52.0,73.0,5.95,,car,fast,93.0
53.0,88.0,2.1,591.0,3-Wheeler,fast,75.0
,22.0,3.67,491.0,Bus,,56.0
,32.0,1.59,N/A,,fast,18.0
56.0,95.0,3.95,450.0,CAR,,95.0
57.0,51.0,3.24,,car,Slow,14.0
58.0,45.0,9.69,N/A,2-Wheeler,Slow,
59.0,40.0,4.13,301.0,car,Moderate,23.0
60.0,30.0,6.1,228.0,,fast,26.0
61.0,30.0,6.66,120.0,2-Wheeler,SLOW,76.0
62.0,unknown,8.45,192.0,,Moderate,38.0
63.0,95.0,7.86,554.0,2-Wheeler,,
64.0,70.0,1.37,590.0,,Slow,82.0
65.0,53.0,7.58,439.0,3-Wheeler,fast,95.0
66.0,22.0,4.84,199.0,2-Wheeler,SLOW,11.0
67.0,41.0,3.25,148.0,Car,Fast,19.0
68.0,46.0,6.57,N/A,Bus,Moderate,86.0
69.0,55.0,9.24,132.0,,Moderate,30.0
70.0,75.0,error,389.0,Car,Slow,59.0
71.0,37.0,6.44,494.0,Bus,,
,40.0,7.2,116.0,,Fast,
73.0,46.0,6.85,,Car,,97.0
74.0,23.0,0.82,549.0,3-Wheeler,,29.0
75.0,unknown,8.19,178.0,Car,,85.0
76.0,43.0,6.18,296.0,,Moderate,63.0
77.0,88.0,3.37,472.0,,Moderate,86.0
,,3.63,582.0,,Slow,69.0
79.0,32.0,2.3,151.0,Bus,Moderate,87.0
80.0,86.0,2.77,202.0,Bus,Moderate,
81.0,,6.19,N/A,,,
82.0,78.0,4.41,163.0,3-Wheeler,Fast,49.0
83.0,95.0,9.0,149.0,3-Wheeler,Moderate,
84.0,59.0,7.73,N/A,Car,,43.0
85.0,92.0,1.73,378.0,Bus,Slow,99.0
86.0,62.0,,448.0,,Moderate,23.0
87.0,65.0,4.58,274.0,2-Wheeler,,93.0
88.0,44.0,1.01,N/A,Car,Slow,99.0
89.0,76.0,3.1,369.0,Car,SLOW,87.0
90.0,61.0,3.28,399.0,CAR,SLOW,59.0
91.0,63.0,1.72,577.0,Bus,Slow,23.0
92.0,81.0,1.9,264.0,Car,,67.0
93.0,48.0,1.96,301.0,CAR,fast,21.0
94.0,49.0,1.24,250.0,Car,SLOW,18.0
95.0,37.0,,555.0,Bus,,97.0
96.0,73.0,3.63,N/A,car,,69.0
97.0,72.0,error,245.0,Bus,Fast,59.0
98.0,91.0,2.22,,car,Moderate,55.0
99.0,65.0,8.3,195.0,2-Wheeler,Moderate,81.0
100.0,27.0,6.43,361.0,2-Wheeler,Fast,73.0
101.0,76.0,8.76,509.0,car,Fast,42.0
102.0,80.0,3.47,,3-Wheeler,Fast,35.0
103.0,95.0,1.5,248.0,Car,Fast,26.0
104.0,unknown,1.8,N/A,2-Wheeler,SLOW,41.0
105.0,48.0,3.87,378.0,car,,98.0
106.0,34.0,2.43,220.0,CAR,Slow,36.0
107.0,77.0,8.29,269.0,Bus,Fast,37.0
108.0,58.0,,296.0,car,Slow,96.0
109.0,32.0,3.68,598.0,Bus,,76.0
110.0,71.0,4.67,236.0,CAR,,18.0
111.0,83.0,error,,Bus,Slow,79.0
112.0,70.0,7.28,583.0,Car,Moderate,52.0
113.0,54.0,8.42,502.0,Bus,Moderate,67.0
114.0,92.0,1.17,366.0,Car,Moderate,70.0
